19.02.2018 11:19:33:233 || UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
19.02.2018 11:19:33:233 || UGrid.GridClear Row=1
19.02.2018 11:19:33:233 || UGrid.MyGridDeleteRow Grid=GridLists Row=1
19.02.2018 11:19:33:233 || UGrid.GridClear Row=1
19.02.2018 11:19:33:233 || UCommon.initnewproject Finish
19.02.2018 11:19:33:233 || UCommon.CheckedClipsInList Start GridClips
19.02.2018 11:19:33:233 || UCommon.CheckedClipsInList-2 GridClips File=Не существует
19.02.2018 11:19:33:233 || UCommon.CheckedClipsInList Finish GridClips
19.02.2018 11:19:33:233 || UCommon.loadoldproject Finish
19.02.2018 11:19:33:233 || UInitForms.UpdatePanelAir
19.02.2018 11:19:33:233 || Form1.Create Finish
19.02.2018 11:19:34:234 || UInitForms.InitNewProject
19.02.2018 11:19:34:234 || UInitForms.InitPlaylists
19.02.2018 11:19:34:234 || UInitForms.InitEditTimeline
19.02.2018 11:19:36:236 || UInitForms.InitFrButtonOptions
19.02.2018 11:19:36:236 || UGrid.initgrid Grid=StringGrid1 Width=512
19.02.2018 11:19:36:236 || UInitForms.InitImportFiles
19.02.2018 11:19:36:236 || UInitForms.InitTextTemplates
19.02.2018 11:19:36:236 || UInitForms.InitMyMessage
19.02.2018 11:19:36:236 || UInitForms.InitImageTemplate
19.02.2018 11:19:36:236 || UGrid.initgrid Grid=GridImgTemplate Width=386
19.02.2018 11:19:36:236 || UInitForms.InitFrSetTemplate
19.02.2018 11:19:36:236 || UInitForms.InitFrSetEventData
19.02.2018 11:19:36:236 || UInitForms.InitFrSortGrid
19.02.2018 11:19:36:236 || UInitForms.InitFrShiftTL
19.02.2018 11:19:36:236 || UInitForms.InitFrShortNum
19.02.2018 11:19:36:236 || UInitForms.InitFrMediaCopy
19.02.2018 11:19:36:236 || UInitForms.InitFPageSetup
19.02.2018 11:19:36:236 || UInitForms.InitfrMyPrint
19.02.2018 11:19:36:236 || UInitForms.InitFrLTC
19.02.2018 11:19:36:236 || UInitForms.InitfrTimeCode
19.02.2018 11:19:36:236 || UInitForms.InitfrMyTextTemplate
19.02.2018 11:19:36:236 || UInitForms.InitfrNewList
19.02.2018 11:19:37:237 || UMyFiles.ReadProjectFromFile Start FileName=G:\home\ARM_editor\1602\Projects\aaa.proj
19.02.2018 11:19:38:238 |2018217121558355| UMyFiles.LoadGridFromStream Start Grid=GridLists
19.02.2018 11:19:38:238 |2018217121558355| UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:38:238 |2018217121558355| UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:38:238 |2018217121558355| UMyFiles.LoadGridFromStream Start Grid=GridClips
19.02.2018 11:19:38:238 |2018217121558355| UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:38:238 |2018217121558355| UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:38:238 |2018217121558355| UMyFiles.LoadGridFromStream Start Grid=GridImgTemplate
19.02.2018 11:19:38:238 |2018217121558355| UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:38:238 |2018217121558355| UGrid.TGridRows.SetDefaultFonts
19.02.2018 11:19:38:238 |2018217121558355| UGrid.MyGridDeleteRow Grid=GridGRTemplate Row=1
19.02.2018 11:19:38:238 |2018217121558355| UGrid.GridClear Row=1
19.02.2018 11:19:38:238 |2018217121558355| UGrid.GridAddRow Grid=GridGRTemplate Result=1
19.02.2018 11:19:38:238 |2018217121558355| UGrid.GridAddRow Grid=GridGRTemplate Result=1
19.02.2018 11:19:38:238 |2018217121558355| UMyFiles.ReadProjectFromFile Finish FileName=G:\home\ARM_editor\1602\Projects\aaa.proj
19.02.2018 11:19:38:238 |2018217121558355| UGRTimelines.TTLZone.ClearBuffer
19.02.2018 11:19:38:238 |2018217121558355| UGRTimelines.TTLZone.ClearTimeline
19.02.2018 11:19:38:238 |2018217121558355| TForm1.Label2Click Start
19.02.2018 11:19:38:238 |2018217121558355| UActPlayList.LoadDefaultClipToPlayer Start
19.02.2018 11:19:38:238 |2018217121558355| UActPlayList.LoadDefaultClipToPlayer - Очистка памяти
19.02.2018 11:19:38:238 |2018217121558355| UMyFiles.DeleteFilesMask Dir=G:\home\ARM_editor\1602\Projects\Temp Mask=*.undo
19.02.2018 11:19:38:238 |2018217121558355| UActPlayList.LoadDefaultClipToPlayer-Очистка UNDO
19.02.2018 11:19:38:238 |2018217121558355| UActPlayList.LoadDefaultClipToPlayer |  | File:  | Clip:  | ClipID= | Start= | Duration= 00:07:00:00
19.02.2018 11:19:38:238 |2018217121558355| UActPlayList.LoadDefaultClipToPlayer MyStartPlay=-00:00:00:01 Synchro=false
19.02.2018 11:19:38:238 |2018217121558355| UCommon.SwitcherVideoPanels Command=1
19.02.2018 11:19:38:238 |2018217121558355| UCommon.TemplateToScreen-2 Clear
19.02.2018 11:19:38:238 |2018217121558355| UMyFiles.LoadClipEditingFromFile Start ClipName=defaultclip
19.02.2018 11:19:38:238 |2018217121558355| UGRTimelines.TTLZone.ClearBuffer
19.02.2018 11:19:38:238 |2018217121558355| UGRTimelines.TTLZone.ClearTimeline
19.02.2018 11:19:38:238 |2018217121558355| UGRTimelines.TTLParameters.UpdateParameters
19.02.2018 11:19:38:238 |2018217121558355| UPlayer.MediaPause mode=paused | Файл : Пусто
