19.02.2018 11:19:33:233 || vlcCreate
19.02.2018 11:19:33:233 || vlcInit
19.02.2018 11:19:41:241 |2018217121558355| Load
19.02.2018 11:19:41:241 |2018217121558355| SetTime
19.02.2018 11:20:02:22 |2018217121558355| vlcPlay
19.02.2018 11:20:02:22 |2018217121558355| vlcWaitForState
19.02.2018 11:20:02:22 |2018217121558355| stat Playing
19.02.2018 11:20:03:23 |2018217121558355| vlcPause
19.02.2018 11:20:03:23 |2018217121558355| vlcWaitForState
19.02.2018 11:20:03:23 |2018217121558355| stat Paused
19.02.2018 11:20:03:23 |2018217121558355| vlcPause
19.02.2018 11:25:35:235 |2018217121558355| Stop
19.02.2018 11:25:35:235 |2018217121558355| stat Stopped
19.02.2018 11:25:35:235 |2018217121558355| Release
19.02.2018 11:25:35:235 |2018217121558355| Stop
