16.02.2018 19:09:31:231 || vlcCreate
16.02.2018 19:09:31:231 || vlcInit
16.02.2018 19:12:44:244 |20182161983302| Stop
16.02.2018 19:12:44:244 |20182161983302| Release
16.02.2018 19:12:44:244 |20182161983302| Stop
16.02.2018 21:34:55:255 || vlcCreate
16.02.2018 21:34:55:255 || vlcInit
16.02.2018 21:35:19:219 |20182161983302| Load
16.02.2018 21:35:42:242 |20182161983302| Load
16.02.2018 21:35:43:243 |20182161983302| stat Stopped
16.02.2018 21:35:44:244 |20182161983302| SetTime
16.02.2018 21:35:46:246 |20182161983302| vlcPlay
16.02.2018 21:35:46:246 |20182161983302| vlcWaitForState
16.02.2018 21:35:46:246 |20182161983302| stat Playing
16.02.2018 21:35:47:247 |20182161983302| vlcPause
16.02.2018 21:35:47:247 |20182161983302| vlcWaitForState
16.02.2018 21:35:47:247 |20182161983302| stat Paused
16.02.2018 21:35:47:247 |20182161983302| vlcPause
16.02.2018 21:36:06:26 |20182161983302| vlcPlay
16.02.2018 21:36:06:26 |20182161983302| vlcWaitForState
16.02.2018 21:36:06:26 |20182161983302| stat Playing
16.02.2018 21:36:07:27 |20182161983302| vlcPause
16.02.2018 21:36:07:27 |20182161983302| vlcWaitForState
16.02.2018 21:36:07:27 |20182161983302| stat Paused
16.02.2018 21:36:11:211 |20182161983302| vlcPlay
16.02.2018 21:36:11:211 |20182161983302| vlcWaitForState
16.02.2018 21:36:11:211 |20182161983302| stat Playing
16.02.2018 21:36:12:212 |20182161983302| vlcPause
16.02.2018 21:36:12:212 |20182161983302| vlcWaitForState
16.02.2018 21:36:12:212 |20182161983302| stat Paused
16.02.2018 21:36:12:212 |20182161983302| vlcPause
16.02.2018 21:36:15:215 |20182161983302| vlcPlay
16.02.2018 21:36:15:215 |20182161983302| vlcWaitForState
16.02.2018 21:36:15:215 |20182161983302| stat Playing
16.02.2018 21:36:17:217 |20182161983302| vlcPause
16.02.2018 21:36:17:217 |20182161983302| vlcWaitForState
16.02.2018 21:36:17:217 |20182161983302| stat Paused
16.02.2018 21:36:17:217 |20182161983302| vlcPause
16.02.2018 21:36:20:220 |20182161983302| vlcPlay
16.02.2018 21:36:20:220 |20182161983302| vlcWaitForState
16.02.2018 21:36:22:222 |20182161983302| vlcPause
16.02.2018 21:36:22:222 |20182161983302| vlcWaitForState
16.02.2018 21:36:22:222 |20182161983302| stat Paused
16.02.2018 21:36:25:225 |20182161983302| vlcPlay
16.02.2018 21:36:25:225 |20182161983302| stat Playing
16.02.2018 21:36:27:227 |20182161983302| vlcPause
16.02.2018 21:36:27:227 |20182161983302| vlcWaitForState
16.02.2018 21:36:27:227 |20182161983302| stat Paused
16.02.2018 21:36:30:230 |20182161983302| vlcPlay
16.02.2018 21:36:30:230 |20182161983302| stat Playing
16.02.2018 21:36:30:230 |20182161983302| vlcWaitForState
16.02.2018 21:36:42:242 |20182161983302| vlcPause
16.02.2018 21:36:42:242 |20182161983302| vlcWaitForState
16.02.2018 21:36:42:242 |20182161983302| stat Paused
16.02.2018 21:36:52:252 |20182161983302| SetTime
16.02.2018 21:36:54:254 |20182161983302| vlcPlay
16.02.2018 21:36:54:254 |20182161983302| vlcWaitForState
16.02.2018 21:36:54:254 |20182161983302| stat Playing
16.02.2018 21:37:01:21 |20182161983302| vlcPause
16.02.2018 21:37:01:21 |20182161983302| vlcWaitForState
16.02.2018 21:37:01:21 |20182161983302| stat Paused
16.02.2018 21:37:01:21 |20182161983302| vlcPause
16.02.2018 21:37:14:214 |20182161983302| Stop
16.02.2018 21:37:14:214 |20182161983302| stat Stopped
16.02.2018 21:37:14:214 |20182161983302| Release
16.02.2018 21:37:14:214 |20182161983302| Stop
16.02.2018 21:37:20:220 || vlcCreate
16.02.2018 21:37:20:220 || vlcInit
16.02.2018 21:38:19:219 |20182161983302| Load
16.02.2018 21:38:20:220 |20182161983302| SetTime
16.02.2018 21:38:22:222 |20182161983302| vlcPlay
16.02.2018 21:38:22:222 |20182161983302| vlcWaitForState
16.02.2018 21:38:22:222 |20182161983302| stat Playing
16.02.2018 21:38:28:228 |20182161983302| vlcPause
16.02.2018 21:38:28:228 |20182161983302| stat Paused
16.02.2018 21:38:28:228 |20182161983302| vlcPause
16.02.2018 21:38:30:230 |20182161983302| SetTime
16.02.2018 21:38:31:231 |20182161983302| vlcPlay
16.02.2018 21:38:31:231 |20182161983302| vlcWaitForState
16.02.2018 21:38:31:231 |20182161983302| stat Playing
16.02.2018 21:38:33:233 |20182161983302| vlcPause
16.02.2018 21:38:33:233 |20182161983302| stat Paused
16.02.2018 21:38:33:233 |20182161983302| vlcPause
16.02.2018 21:38:35:235 |20182161983302| SetTime
16.02.2018 21:39:52:252 |20182161983302| Load
16.02.2018 21:39:52:252 |20182161983302| stat Stopped
16.02.2018 21:39:53:253 |20182161983302| SetTime
16.02.2018 21:39:56:256 |20182161983302| vlcPlay
16.02.2018 21:39:56:256 |20182161983302| vlcWaitForState
16.02.2018 21:39:56:256 |20182161983302| stat Playing
16.02.2018 21:39:57:257 |20182161983302| vlcPause
16.02.2018 21:39:57:257 |20182161983302| vlcWaitForState
16.02.2018 21:39:57:257 |20182161983302| stat Paused
16.02.2018 21:39:57:257 |20182161983302| vlcPause
16.02.2018 21:39:58:258 |20182161983302| SetTime
16.02.2018 21:40:00:20 |20182161983302| vlcPlay
16.02.2018 21:40:00:20 |20182161983302| vlcWaitForState
16.02.2018 21:40:00:20 |20182161983302| vlcPause
16.02.2018 21:40:00:20 |20182161983302| vlcWaitForState
16.02.2018 21:40:00:20 |20182161983302| stat Paused
16.02.2018 21:40:00:20 |20182161983302| vlcPause
16.02.2018 21:40:06:26 |20182161983302| Stop
16.02.2018 21:40:07:27 |20182161983302| stat Stopped
16.02.2018 21:40:07:27 |20182161983302| Release
16.02.2018 21:40:07:27 |20182161983302| Stop
16.02.2018 21:43:17:217 || vlcCreate
16.02.2018 21:43:17:217 || vlcInit
16.02.2018 21:43:29:229 |2018216214324763| Load
