18.02.2018 21:46:58:258 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 21:46:58:258 || TFGRTemplate.SetSizeLayer1
18.02.2018 23:08:29:229 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 23:08:29:229 || TFGRTemplate.SetSizeLayer1
18.02.2018 23:11:14:214 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 23:11:14:214 || TFGRTemplate.SetSizeLayer1
18.02.2018 23:11:47:247 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 23:11:47:247 || TFGRTemplate.SetSizeLayer1
18.02.2018 23:13:41:241 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 23:13:41:241 || TFGRTemplate.SetSizeLayer1
18.02.2018 23:14:15:215 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 23:14:15:215 || TFGRTemplate.SetSizeLayer1
18.02.2018 23:16:09:29 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 23:16:09:29 || TFGRTemplate.SetSizeLayer1
18.02.2018 23:17:33:233 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 23:17:33:233 || TFGRTemplate.SetSizeLayer1
18.02.2018 23:19:13:213 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 23:19:13:213 || TFGRTemplate.SetSizeLayer1
18.02.2018 23:20:14:214 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 23:20:14:214 || TFGRTemplate.SetSizeLayer1
18.02.2018 23:21:14:214 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 23:21:14:214 || TFGRTemplate.SetSizeLayer1
18.02.2018 23:22:56:256 || UImageTemplate.SetSizeFrame Aspect=16x9
18.02.2018 23:22:56:256 || TFGRTemplate.SetSizeLayer1
