17.02.2018 11:03:21:221 || Form1.Create Start
17.02.2018 11:03:21:221 || 
17.02.2018 11:03:21:221 || *****************************************************************************************
17.02.2018 11:03:21:221 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
17.02.2018 11:03:21:221 || *************************            Время старта: 11:03:21:18             *************************
17.02.2018 11:03:21:221 || *****************************************************************************************
17.02.2018 11:03:21:221 || UCommon.CreateDirectories
17.02.2018 11:03:21:221 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\1602\Clips
17.02.2018 11:03:21:221 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\1602\Projects
17.02.2018 11:03:21:221 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\1602\Projects\Clips
17.02.2018 11:03:21:221 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\1602\Projects\Templates
17.02.2018 11:03:21:221 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\1602\Projects\PlayLists
17.02.2018 11:03:21:221 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\1602\Projects\Temp
17.02.2018 11:03:21:221 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\1602\Projects\Keylayouts
17.02.2018 11:03:21:221 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\1602\\Log
17.02.2018 11:03:21:221 || Начало чтения IniFile: G:\home\ARM_editor\1602\ARM_Director.ini
17.02.2018 11:03:21:221 || UGrid.TGridRows.SetDefaultFonts
17.02.2018 11:03:21:221 || UGrid.TGridRows.SetDefaultFonts
17.02.2018 11:03:21:221 || UGrid.TGridRows.SetDefaultFonts
17.02.2018 11:03:21:221 || UGrid.TGridRows.SetDefaultFonts
17.02.2018 11:03:21:221 || UGrid.TGridRows.SetDefaultFonts
17.02.2018 11:03:21:221 || UGrid.TGridRows.SetDefaultFonts
17.02.2018 11:03:21:221 || Окончание чтения IniFile: G:\home\ARM_editor\1602\ARM_Director.ini
17.02.2018 11:03:21:221 || UMyFiles.ExecTaskOnDelete
17.02.2018 11:03:21:221 || UInitForms.InputInSystem - Вход в систему выполнен
17.02.2018 11:03:21:221 || UInitForms.InputInSystem
17.02.2018 11:03:21:221 || UInitForms.InitMyStartWindow
17.02.2018 11:03:21:221 || UInitForms.InitMyStartWindow - Вход в систему выполнен
17.02.2018 11:03:21:221 || UInitForms.InitMainForm
17.02.2018 11:03:21:221 || UInitForms.InitPanelControl
17.02.2018 11:03:21:221 || UCommon.SetMainGridPanel Start
17.02.2018 11:03:21:221 || UCommon.SetMainGridPanel MainGrid=projects
17.02.2018 11:03:21:221 || UCommon.CheckedClipsInList Start GridClips
17.02.2018 11:03:21:221 || UCommon.CheckedClipsInList Finish GridClips
17.02.2018 11:03:21:221 || UCommon.SetMainGridPanel Finish
17.02.2018 11:03:21:221 || UInitForms.InitPanelClips
17.02.2018 11:03:21:221 || UGrid.initgrid Grid=GridClips Width=1560
17.02.2018 11:03:21:221 || UInitForms.InitPanelPlayList
17.02.2018 11:03:21:221 || UGrid.initgrid Grid=GridActPlayList Width=1560
17.02.2018 11:03:21:221 || UInitForms.InitPanelProject
17.02.2018 11:03:21:221 || UGrid.initgrid Grid=GridLists Width=1560
17.02.2018 11:03:21:221 || UInitForms.InitPanelPrepare
17.02.2018 11:03:21:221 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
17.02.2018 11:03:21:221 || UGrid.initgrid Grid=GridGRTemplate Width=349
17.02.2018 11:03:21:221 || UDrawTimelines.TTLNames.SetDefaultFonts;
17.02.2018 11:03:21:221 || UDrawTimelines.TTLNames.Draw Start
17.02.2018 11:03:21:221 || UDrawTimelines.TZoneScaler.Draw Height=25
17.02.2018 11:03:21:221 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
17.02.2018 11:03:21:221 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
17.02.2018 11:03:21:221 || UDrawTimelines.TNamesTL.Init Result=152
17.02.2018 11:03:21:221 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
17.02.2018 11:03:21:221 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
17.02.2018 11:03:21:221 || UDrawTimelines.TTLNames.Draw Finish
17.02.2018 11:03:21:221 || UInitForms.InitPanelAir
17.02.2018 11:03:22:222 || UInitForms.MyStartWindow - Вход в систему выполнен
17.02.2018 11:03:22:222 || UCommon.loadoldproject Start
17.02.2018 11:03:22:222 || UCommon.initnewproject Start
17.02.2018 11:03:22:222 || UInitForms.InitPanelPrepare
17.02.2018 11:03:22:222 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
17.02.2018 11:03:22:222 || UGrid.initgrid Grid=GridGRTemplate Width=349
17.02.2018 11:03:22:222 || UDrawTimelines.TTLNames.SetDefaultFonts;
17.02.2018 11:03:22:222 || UDrawTimelines.TTLNames.Draw Start
17.02.2018 11:03:22:222 || UDrawTimelines.TZoneScaler.Draw Height=25
17.02.2018 11:03:22:222 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
17.02.2018 11:03:22:222 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
17.02.2018 11:03:22:222 || UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
17.02.2018 11:03:22:222 || UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
17.02.2018 11:03:22:222 || UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
17.02.2018 11:03:22:222 || UDrawTimelines.TNamesTL.Init Result=113
17.02.2018 11:03:22:222 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
17.02.2018 11:03:22:222 || UDrawTimelines.TTimeLineName.Draw Position=0
17.02.2018 11:03:22:222 || UDrawTimelines.TTimeLineName.Draw Position=1
