18.02.2018 21:46:56:256 || vlcCreate
18.02.2018 21:46:56:256 || vlcInit
18.02.2018 21:47:08:28 |2018217121558355| Stop
18.02.2018 21:47:08:28 |2018217121558355| Release
18.02.2018 21:47:08:28 |2018217121558355| Stop
18.02.2018 23:08:28:228 || vlcCreate
18.02.2018 23:08:28:228 || vlcInit
18.02.2018 23:08:37:237 |2018217121558355| Stop
18.02.2018 23:08:37:237 |2018217121558355| Release
18.02.2018 23:08:37:237 |2018217121558355| Stop
18.02.2018 23:11:14:214 || vlcCreate
18.02.2018 23:11:14:214 || vlcInit
18.02.2018 23:11:20:220 |2018217121558355| Load
18.02.2018 23:11:22:222 |2018217121558355| SetTime
18.02.2018 23:11:23:223 |2018217121558355| vlcPlay
18.02.2018 23:11:23:223 |2018217121558355| vlcWaitForState
18.02.2018 23:11:23:223 |2018217121558355| stat Playing
18.02.2018 23:11:25:225 |2018217121558355| vlcPause
18.02.2018 23:11:25:225 |2018217121558355| vlcWaitForState
18.02.2018 23:11:25:225 |2018217121558355| stat Paused
18.02.2018 23:11:25:225 |2018217121558355| vlcPause
18.02.2018 23:11:28:228 |2018217121558355| Stop
18.02.2018 23:11:28:228 |2018217121558355| stat Stopped
18.02.2018 23:11:28:228 |2018217121558355| Release
18.02.2018 23:11:28:228 |2018217121558355| Stop
18.02.2018 23:11:46:246 || vlcCreate
18.02.2018 23:11:46:246 || vlcInit
18.02.2018 23:11:53:253 |2018217121558355| Load
18.02.2018 23:13:40:240 || vlcCreate
18.02.2018 23:13:40:240 || vlcInit
18.02.2018 23:13:46:246 |2018217121558355| Load
18.02.2018 23:14:07:27 |2018217121558355| SetTime
18.02.2018 23:14:14:214 || vlcCreate
18.02.2018 23:14:14:214 || vlcInit
18.02.2018 23:14:19:219 |2018217121558355| Load
18.02.2018 23:16:08:28 || vlcCreate
18.02.2018 23:16:08:28 || vlcInit
18.02.2018 23:16:16:216 |2018217121558355| Load
18.02.2018 23:17:32:232 || vlcCreate
18.02.2018 23:17:32:232 || vlcInit
18.02.2018 23:17:39:239 |2018217121558355| Load
18.02.2018 23:17:47:247 |2018217121558355| SetTime
18.02.2018 23:17:49:249 |2018217121558355| vlcPlay
18.02.2018 23:17:49:249 |2018217121558355| stat Playing
18.02.2018 23:17:49:249 |2018217121558355| vlcWaitForState
18.02.2018 23:17:51:251 |2018217121558355| vlcPause
18.02.2018 23:17:51:251 |2018217121558355| stat Paused
18.02.2018 23:17:51:251 |2018217121558355| vlcWaitForState
18.02.2018 23:17:51:251 |2018217121558355| vlcPause
18.02.2018 23:18:02:22 |2018217121558355| Stop
18.02.2018 23:18:02:22 |2018217121558355| stat Stopped
18.02.2018 23:18:02:22 |2018217121558355| Release
18.02.2018 23:18:02:22 |2018217121558355| Stop
18.02.2018 23:19:13:213 || vlcCreate
18.02.2018 23:19:13:213 || vlcInit
18.02.2018 23:19:19:219 |2018217121558355| Load
18.02.2018 23:19:19:219 |2018217121558355| SetTime
18.02.2018 23:19:21:221 |2018217121558355| vlcPlay
18.02.2018 23:19:21:221 |2018217121558355| vlcWaitForState
18.02.2018 23:19:21:221 |2018217121558355| stat Playing
18.02.2018 23:19:23:223 |2018217121558355| vlcPause
18.02.2018 23:19:23:223 |2018217121558355| vlcWaitForState
18.02.2018 23:19:23:223 |2018217121558355| stat Paused
18.02.2018 23:19:23:223 |2018217121558355| vlcPause
18.02.2018 23:19:25:225 |2018217121558355| Stop
18.02.2018 23:19:25:225 |2018217121558355| stat Stopped
18.02.2018 23:19:25:225 |2018217121558355| Release
18.02.2018 23:19:25:225 |2018217121558355| Stop
18.02.2018 23:20:13:213 || vlcCreate
18.02.2018 23:20:13:213 || vlcInit
18.02.2018 23:20:20:220 |2018217121558355| Load
18.02.2018 23:21:14:214 || vlcCreate
18.02.2018 23:21:14:214 || vlcInit
18.02.2018 23:21:20:220 |2018217121558355| Load
18.02.2018 23:21:21:221 |2018217121558355| SetTime
18.02.2018 23:21:22:222 |2018217121558355| vlcPlay
18.02.2018 23:21:22:222 |2018217121558355| vlcWaitForState
18.02.2018 23:21:22:222 |2018217121558355| stat Playing
18.02.2018 23:21:27:227 |2018217121558355| vlcPause
18.02.2018 23:21:27:227 |2018217121558355| vlcWaitForState
18.02.2018 23:21:27:227 |2018217121558355| stat Paused
