11.06.2017 15:33:49:649 |2017522182734909| DrawTimelines set stretchblt mode=0
11.06.2017 15:33:49:649 |2017522182734909| DrawTimelines stretchblt duration=11,2304128219224
11.06.2017 15:33:49:649 |2017522182734909| DrawTimelines set stretchblt mode=0,319054882863786
11.06.2017 15:33:49:649 |2017522182734909| DrawTimelines stretchblt duration=10,1245685979165
11.06.2017 15:33:50:650 |2017522182734909| DrawTimelines set stretchblt mode=0
11.06.2017 15:33:50:650 |2017522182734909| DrawTimelines stretchblt duration=2,1558538435106
11.06.2017 15:33:57:657 |2017522182734909| DrawTimelines set stretchblt mode=0
11.06.2017 15:33:57:657 |2017522182734909| DrawTimelines stretchblt duration=2,14117731889887
11.06.2017 15:34:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
11.06.2017 15:34:01:61 |2017522182734909| DrawTimelines stretchblt duration=9,16740394932515
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines set stretchblt mode=0
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines stretchblt duration=9,22834343195213
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines set stretchblt mode=0
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines stretchblt duration=9,29438779270494
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines set stretchblt mode=0
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines stretchblt duration=9,18495196788266
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines set stretchblt mode=0
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines stretchblt duration=9,22004800499768
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines set stretchblt mode=0,319054882863786
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines stretchblt duration=9,4242431300305
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines set stretchblt mode=0
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines stretchblt duration=9,04137727059396
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines set stretchblt mode=0
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines stretchblt duration=9,04137727059396
11.06.2017 15:34:03:63 |2017522182734909| DrawTimelines set stretchblt mode=0
