08.06.2017 22:28:51:651 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:28:51:651 |2017522182734909| DrawTimelines stretchblt duration=11,1860641932043
08.06.2017 22:28:51:651 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:28:51:651 |2017522182734909| DrawTimelines stretchblt duration=10,0272568586431
08.06.2017 22:28:56:656 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:28:56:656 |2017522182734909| DrawTimelines stretchblt duration=10,1858271354264
08.06.2017 22:28:56:656 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:28:56:656 |2017522182734909| DrawTimelines stretchblt duration=10,3718361321359
08.06.2017 22:28:56:656 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:28:56:656 |2017522182734909| DrawTimelines stretchblt duration=1,36651206330559
08.06.2017 22:29:00:60 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:00:60 |2017522182734909| DrawTimelines stretchblt duration=1,25069514082604
08.06.2017 22:29:00:60 |2017522182734909| DrawTimelines set stretchblt mode=0,319054882863786
08.06.2017 22:29:00:60 |2017522182734909| DrawTimelines stretchblt duration=1,32790642247908
08.06.2017 22:29:00:60 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:00:60 |2017522182734909| DrawTimelines stretchblt duration=1,24016632969153
08.06.2017 22:29:00:60 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,3435401117394
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0,319054882863786
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,25229041524036
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,24814270176313
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0,319054882863786
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,32631114806476
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,24176160410585
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,24590931758308
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,24176160410585
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,25292852500609
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,23569956133144
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,24271876875444
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,24718553711454
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,25005703106031
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0,319054882863786
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,26377639102345
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,26122395196054
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0,319054882863786
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,28164346446383
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,34258294709081
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,24686648223167
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,28419590352674
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,24463309805163
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines set stretchblt mode=0
08.06.2017 22:29:01:61 |2017522182734909| DrawTimelines stretchblt duration=1,41437029573516
