13.06.2017 15:45:51:651 || Message:WM_GETMINMAXINFO
13.06.2017 15:45:51:651 || Message:WM_GETMINMAXINFO
13.06.2017 15:45:51:651 || Message:WM_GETMINMAXINFO
13.06.2017 15:45:51:651 || Message:WM_GETMINMAXINFO
13.06.2017 15:45:51:651 || Message:WM_GETMINMAXINFO
13.06.2017 15:45:51:651 || Message:WM_GETMINMAXINFO
13.06.2017 15:45:51:651 || Form1.Create Start
13.06.2017 15:45:51:651 || 
13.06.2017 15:45:51:651 || *****************************************************************************************
13.06.2017 15:45:51:651 || *************************               «¿œ”—  œ–Œ√–¿ÃÃ€             *************************
13.06.2017 15:45:51:651 || *************************            ¬ÂÏˇ ÒÚ‡Ú‡: 15:45:51:18             *************************
13.06.2017 15:45:51:651 || *****************************************************************************************
13.06.2017 15:45:51:651 || UCommon.CreateDirectories NewProject=
13.06.2017 15:45:51:651 || UCommon.CreateDirectories PathFiles=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Clips
13.06.2017 15:45:51:651 || UCommon.CreateDirectories DirProject=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects
13.06.2017 15:45:51:651 || UCommon.CreateDirectories œÓÂÍÚ ÌÂ Á‡‰‡Ì
13.06.2017 15:45:51:651 || Õ‡˜‡ÎÓ ˜ÚÂÌËˇ IniFile: F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\ARM_Director.ini
13.06.2017 15:45:51:651 || UGrid.TGridRows.SetDefaultFonts
13.06.2017 15:45:51:651 || UGrid.TGridRows.SetDefaultFonts
13.06.2017 15:45:51:651 || UGrid.TGridRows.SetDefaultFonts
13.06.2017 15:45:51:651 || UGrid.TGridRows.SetDefaultFonts
13.06.2017 15:45:51:651 || UGrid.TGridRows.SetDefaultFonts
13.06.2017 15:45:51:651 || UGrid.TGridRows.SetDefaultFonts
13.06.2017 15:45:51:651 || ŒÍÓÌ˜‡ÌËÂ ˜ÚÂÌËˇ IniFile: F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\ARM_Director.ini
13.06.2017 15:45:51:651 || UMyFiles.ExecTaskOnDelete
13.06.2017 15:45:51:651 || UInitForms.InputInSystem
13.06.2017 15:45:51:651 || UInitForms.InputInSystem - ¬ıÓ‰ ‚ ÒËÒÚÂÏÛ ‚˚ÔÓÎÌÂÌ
13.06.2017 15:45:51:651 || UInitForms.InitMainForm
13.06.2017 15:45:51:651 || UInitForms.InitPanelControl
13.06.2017 15:45:51:651 || UCommon.SetMainGridPanel Start
13.06.2017 15:45:51:651 || UCommon.SetMainGridPanel MainGrid=projects
13.06.2017 15:45:51:651 || UCommon.CheckedClipsInList Start Grid=GridClips
13.06.2017 15:45:51:651 || UCommon.CheckedClipsInList Finish Grid=GridClips
13.06.2017 15:45:51:651 || UCommon.SetMainGridPanel Finish
13.06.2017 15:45:51:651 || UInitForms.InitPanelClips
13.06.2017 15:45:51:651 || UGrid.initgrid Grid=GridClips Width=1560
13.06.2017 15:45:51:651 || UInitForms.InitPanelPlayList
13.06.2017 15:45:51:651 || UGrid.initgrid Grid=GridActPlayList Width=1560
13.06.2017 15:45:51:651 || UInitForms.InitPanelProject
13.06.2017 15:45:51:651 || UGrid.initgrid Grid=GridProjects Width=1560
13.06.2017 15:45:51:651 || UGrid.initgrid Grid=GridLists Width=1560
13.06.2017 15:45:51:651 || UInitForms.InitPanelPrepare
13.06.2017 15:45:51:651 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
13.06.2017 15:45:51:651 || UGrid.initgrid Grid=GridGRTemplate Width=446
13.06.2017 15:45:51:651 || UDrawTimelines.TTLNames.SetDefaultFonts;
13.06.2017 15:45:51:651 || UDrawTimelines.TTLNames.Draw Start
13.06.2017 15:45:51:651 || UDrawTimelines.TZoneScaler.Draw Height=25
13.06.2017 15:45:51:651 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
13.06.2017 15:45:51:651 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
13.06.2017 15:45:51:651 || UDrawTimelines.TNamesTL.Init Result=152
13.06.2017 15:45:51:651 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
13.06.2017 15:45:51:651 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
13.06.2017 15:45:51:651 || UDrawTimelines.TTLNames.Draw Finish
13.06.2017 15:45:51:651 || UInitForms.InitPanelAir
13.06.2017 15:45:51:651 || UMyFiles.LoadGridFromFile Start FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\ListProjects.prjt Grid=GridProjects
