14.06.2017 19:28:28:628 || Message:WM_GETMINMAXINFO
14.06.2017 19:28:28:628 || Message:WM_GETMINMAXINFO
14.06.2017 19:28:28:628 || Message:WM_GETMINMAXINFO
14.06.2017 19:28:29:629 || Message:WM_GETMINMAXINFO
14.06.2017 19:28:29:629 || Message:WM_GETMINMAXINFO
14.06.2017 19:28:29:629 || Message:WM_GETMINMAXINFO
14.06.2017 19:28:29:629 || Form1.Create Start
14.06.2017 19:28:29:629 || 
14.06.2017 19:28:29:629 || *****************************************************************************************
14.06.2017 19:28:29:629 || *************************               «¿œ”—  œ–Œ√–¿ÃÃ€             *************************
14.06.2017 19:28:29:629 || *************************            ¬ÂÏˇ ÒÚ‡Ú‡: 19:28:29:02             *************************
14.06.2017 19:28:29:629 || *****************************************************************************************
14.06.2017 19:28:29:629 || UCommon.CreateDirectories NewProject=
14.06.2017 19:28:29:629 || UCommon.CreateDirectories PathFiles=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Clips
14.06.2017 19:28:29:629 || UCommon.CreateDirectories DirProject=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects
14.06.2017 19:28:29:629 || UCommon.CreateDirectories œÓÂÍÚ ÌÂ Á‡‰‡Ì
14.06.2017 19:28:29:629 || Õ‡˜‡ÎÓ ˜ÚÂÌËˇ IniFile: F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\ARM_Director.ini
14.06.2017 19:28:29:629 || UGrid.TGridRows.SetDefaultFonts
14.06.2017 19:28:29:629 || UGrid.TGridRows.SetDefaultFonts
14.06.2017 19:28:29:629 || UGrid.TGridRows.SetDefaultFonts
14.06.2017 19:28:29:629 || UGrid.TGridRows.SetDefaultFonts
14.06.2017 19:28:29:629 || UGrid.TGridRows.SetDefaultFonts
14.06.2017 19:28:29:629 || UGrid.TGridRows.SetDefaultFonts
14.06.2017 19:28:29:629 || ŒÍÓÌ˜‡ÌËÂ ˜ÚÂÌËˇ IniFile: F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\ARM_Director.ini
14.06.2017 19:28:29:629 || UMyFiles.ExecTaskOnDelete
14.06.2017 19:28:29:629 || UInitForms.InputInSystem
14.06.2017 19:28:29:629 || UInitForms.InputInSystem - ¬ıÓ‰ ‚ ÒËÒÚÂÏÛ ‚˚ÔÓÎÌÂÌ
14.06.2017 19:28:29:629 || UInitForms.InitMainForm
14.06.2017 19:28:29:629 || UInitForms.InitPanelControl
14.06.2017 19:28:29:629 || UCommon.SetMainGridPanel Start
14.06.2017 19:28:29:629 || UCommon.SetMainGridPanel MainGrid=projects
14.06.2017 19:28:29:629 || UCommon.CheckedClipsInList Start Grid=GridClips
14.06.2017 19:28:29:629 || UCommon.CheckedClipsInList Finish Grid=GridClips
14.06.2017 19:28:29:629 || UCommon.SetMainGridPanel Finish
14.06.2017 19:28:29:629 || UInitForms.InitPanelClips
14.06.2017 19:28:29:629 || UGrid.initgrid Grid=GridClips Width=1560
14.06.2017 19:28:29:629 || UInitForms.InitPanelPlayList
14.06.2017 19:28:29:629 || UGrid.initgrid Grid=GridActPlayList Width=1560
14.06.2017 19:28:29:629 || UInitForms.InitPanelProject
14.06.2017 19:28:29:629 || UGrid.initgrid Grid=GridProjects Width=1560
14.06.2017 19:28:29:629 || UGrid.initgrid Grid=GridLists Width=1560
14.06.2017 19:28:29:629 || UInitForms.InitPanelPrepare
14.06.2017 19:28:29:629 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
14.06.2017 19:28:29:629 || UGrid.initgrid Grid=GridGRTemplate Width=446
14.06.2017 19:28:29:629 || UDrawTimelines.TTLNames.SetDefaultFonts;
14.06.2017 19:28:29:629 || UDrawTimelines.TTLNames.Draw Start
14.06.2017 19:28:29:629 || UDrawTimelines.TZoneScaler.Draw Height=25
14.06.2017 19:28:29:629 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
14.06.2017 19:28:29:629 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
14.06.2017 19:28:29:629 || UDrawTimelines.TNamesTL.Init Result=152
14.06.2017 19:28:29:629 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
14.06.2017 19:28:29:629 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
14.06.2017 19:28:29:629 || UDrawTimelines.TTLNames.Draw Finish
14.06.2017 19:28:29:629 || UInitForms.InitPanelAir
14.06.2017 19:28:29:629 || UMyFiles.LoadGridFromFile Start FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\ListProjects.prjt Grid=GridProjects
14.06.2017 19:28:29:629 || UGrid.TGridRows.SetDefaultFonts
14.06.2017 19:28:29:629 || UGrid.TGridRows.SetDefaultFonts
14.06.2017 19:28:29:629 || UMyFiles.LoadGridFromFile Finish FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\ListProjects.prjt Grid=GridProjects
14.06.2017 19:28:29:629 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
14.06.2017 19:28:29:629 || UCommon.loadoldproject Start
14.06.2017 19:28:29:629 || UCommon.initnewproject Start
14.06.2017 19:28:29:629 || UInitForms.InitPanelPrepare
14.06.2017 19:28:29:629 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
14.06.2017 19:28:29:629 || UGrid.initgrid Grid=GridGRTemplate Width=446
14.06.2017 19:28:29:629 || UDrawTimelines.TTLNames.SetDefaultFonts;
14.06.2017 19:28:29:629 || UDrawTimelines.TTLNames.Draw Start
14.06.2017 19:28:29:629 || UDrawTimelines.TZoneScaler.Draw Height=25
14.06.2017 19:28:29:629 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
14.06.2017 19:28:29:629 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
14.06.2017 19:28:29:629 || UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
14.06.2017 19:28:29:629 || UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
14.06.2017 19:28:29:629 || UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
14.06.2017 19:28:29:629 || UDrawTimelines.TNamesTL.Init Result=113
14.06.2017 19:28:29:629 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
14.06.2017 19:28:29:629 || UDrawTimelines.TTimeLineName.Draw Position=0
