09.06.2017 00:22:20:620 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:20:620 |2017522182734909| DrawTimelines stretchblt duration=11,0609946791217
09.06.2017 00:22:21:621 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:21:621 |2017522182734909| DrawTimelines stretchblt duration=10,0285330781745
09.06.2017 00:22:21:621 |2017522182734909| DrawTimelines set stretchblt mode=0,319054882863786
09.06.2017 00:22:21:621 |2017522182734909| DrawTimelines stretchblt duration=1,23538050644858
09.06.2017 00:22:22:622 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:22:622 |2017522182734909| DrawTimelines stretchblt duration=1,24208065898872
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,29536282442697
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,2325090125028
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,23314712226853
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,29982959278706
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,32822547736194
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,24622837246595
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,23538050644858
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,2289994087913
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,22708507949412
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,24208065898872
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,28260062911242
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,22931846367417
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0,319054882863786
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,22772318925985
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,24208065898872
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,25260947012322
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,23155184785421
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,23442334179999
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,22931846367417
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,23155184785421
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,29504376954411
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,23218995761994
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,23793294551149
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,24590931758308
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,23538050644858
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,24239971387158
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines stretchblt duration=1,29663904395842
09.06.2017 00:22:25:625 |2017522182734909| DrawTimelines set stretchblt mode=0
