04.02.2018 23:03:46:246 || UImageTemplate.SetSizeFrame Aspect=16x9
04.02.2018 23:03:46:246 || TFGRTemplate.SetSizeLayer1
04.02.2018 23:13:38:238 || UImageTemplate.SetSizeFrame Aspect=16x9
04.02.2018 23:13:38:238 || TFGRTemplate.SetSizeLayer1
04.02.2018 23:15:24:224 || UImageTemplate.SetSizeFrame Aspect=16x9
04.02.2018 23:15:24:224 || TFGRTemplate.SetSizeLayer1
04.02.2018 23:17:35:235 || UImageTemplate.SetSizeFrame Aspect=16x9
04.02.2018 23:17:35:235 || TFGRTemplate.SetSizeLayer1
04.02.2018 23:20:35:235 || UImageTemplate.SetSizeFrame Aspect=16x9
04.02.2018 23:20:35:235 || TFGRTemplate.SetSizeLayer1
04.02.2018 23:21:48:248 || UImageTemplate.SetSizeFrame Aspect=16x9
04.02.2018 23:21:48:248 || TFGRTemplate.SetSizeLayer1
04.02.2018 23:24:41:241 || UImageTemplate.SetSizeFrame Aspect=16x9
04.02.2018 23:24:41:241 || TFGRTemplate.SetSizeLayer1
