20.02.2018 18:34:22:222 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
20.02.2018 18:34:22:222 || *************************            Âðåìÿ ñòàðòà: 18:34:22:13             *************************
20.02.2018 18:34:22:222 || *****************************************************************************************
20.02.2018 18:34:22:222 || Form1.Create Finish
20.02.2018 18:39:17:217 || Form1.Create Start
20.02.2018 18:39:17:217 || 
20.02.2018 18:39:17:217 || *****************************************************************************************
20.02.2018 18:39:17:217 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
20.02.2018 18:39:17:217 || *************************            Âðåìÿ ñòàðòà: 18:39:17:17             *************************
20.02.2018 18:39:17:217 || *****************************************************************************************
20.02.2018 18:39:17:217 || Form1.Create Finish
20.02.2018 18:39:43:243 || Message:WMSysCommand
20.02.2018 18:40:03:23 || Form1.Create Start
20.02.2018 18:40:03:23 || 
20.02.2018 18:40:03:23 || *****************************************************************************************
20.02.2018 18:40:03:23 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
20.02.2018 18:40:03:23 || *************************            Âðåìÿ ñòàðòà: 18:40:03:13             *************************
20.02.2018 18:40:03:23 || *****************************************************************************************
20.02.2018 18:40:03:23 || Form1.Create Finish
20.02.2018 18:40:17:217 || Message:WMSysCommand
20.02.2018 19:57:30:230 || Form1.Create Start
20.02.2018 19:57:30:230 || 
20.02.2018 19:57:30:230 || *****************************************************************************************
20.02.2018 19:57:30:230 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
20.02.2018 19:57:30:230 || *************************            Âðåìÿ ñòàðòà: 19:57:30:14             *************************
20.02.2018 19:57:30:230 || *****************************************************************************************
20.02.2018 19:57:30:230 || Form1.Create Finish
20.02.2018 19:57:55:255 || Message:WMSysCommand
20.02.2018 20:02:25:225 || Form1.Create Start
20.02.2018 20:02:25:225 || 
20.02.2018 20:02:25:225 || *****************************************************************************************
20.02.2018 20:02:25:225 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
20.02.2018 20:02:25:225 || *************************            Âðåìÿ ñòàðòà: 20:02:25:00             *************************
20.02.2018 20:02:25:225 || *****************************************************************************************
20.02.2018 20:02:25:225 || Form1.Create Finish
20.02.2018 20:02:33:233 || Message:WMSysCommand
20.02.2018 20:04:56:256 || Form1.Create Start
20.02.2018 20:04:56:256 || 
20.02.2018 20:04:56:256 || *****************************************************************************************
20.02.2018 20:04:56:256 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
20.02.2018 20:04:56:256 || *************************            Âðåìÿ ñòàðòà: 20:04:56:00             *************************
20.02.2018 20:04:56:256 || *****************************************************************************************
20.02.2018 20:04:56:256 || Form1.Create Finish
20.02.2018 20:05:05:25 || Message:WMSysCommand
20.02.2018 20:05:43:243 || Form1.Create Start
20.02.2018 20:05:43:243 || 
20.02.2018 20:05:43:243 || *****************************************************************************************
20.02.2018 20:05:43:243 || *************************               ÇÀÏÓÑÊ ÏÐÎÃÐÀÌÌÛ             *************************
20.02.2018 20:05:43:243 || *************************            Âðåìÿ ñòàðòà: 20:05:43:07             *************************
20.02.2018 20:05:43:243 || *****************************************************************************************
20.02.2018 20:05:43:243 || Form1.Create Finish
20.02.2018 20:05:47:247 || Message:WMSysCommand
