01.02.2018 17:56:51:251 || UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
01.02.2018 17:56:51:251 || UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
01.02.2018 17:56:51:251 || UDrawTimelines.TNamesTL.Init Result=113
01.02.2018 17:56:51:251 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
01.02.2018 17:56:51:251 || UDrawTimelines.TTimeLineName.Draw Position=0
01.02.2018 17:56:51:251 || UDrawTimelines.TTimeLineName.Draw Position=1
01.02.2018 17:56:51:251 || UDrawTimelines.TTimeLineName.Draw Position=2
01.02.2018 17:56:51:251 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
01.02.2018 17:56:51:251 || UDrawTimelines.TTLNames.Draw Finish
01.02.2018 17:56:51:251 || UGrid.MyGridDeleteRow Grid=GridClips Row=1
01.02.2018 17:56:51:251 || UGrid.GridClear Row=1
01.02.2018 17:56:51:251 || UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
01.02.2018 17:56:51:251 || UGrid.GridClear Row=1
01.02.2018 17:56:51:251 || UGrid.MyGridDeleteRow Grid=GridLists Row=1
01.02.2018 17:56:51:251 || UGrid.GridClear Row=1
01.02.2018 17:56:51:251 || UCommon.initnewproject Finish
01.02.2018 17:56:51:251 || UCommon.CheckedClipsInList Start GridClips
01.02.2018 17:56:51:251 || UCommon.CheckedClipsInList-2 GridClips File=ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
01.02.2018 17:56:51:251 || UCommon.CheckedClipsInList Finish GridClips
01.02.2018 17:56:51:251 || UCommon.loadoldproject Finish
01.02.2018 17:56:51:251 || UInitForms.UpdatePanelAir
01.02.2018 17:56:51:251 || Form1.Create Finish
01.02.2018 17:56:55:255 || UInitForms.InitNewProject
01.02.2018 17:56:55:255 || UInitForms.InitPlaylists
01.02.2018 17:56:55:255 || UInitForms.InitEditTimeline
01.02.2018 17:56:56:256 || UInitForms.InitFrButtonOptions
01.02.2018 17:56:56:256 || UGrid.initgrid Grid=StringGrid1 Width=512
01.02.2018 17:56:56:256 || UInitForms.InitImportFiles
01.02.2018 17:56:56:256 || UInitForms.InitTextTemplates
