11.02.2018 00:06:53:253 || Form1.Create Start
11.02.2018 00:06:53:253 || 
11.02.2018 00:06:53:253 || *****************************************************************************************
11.02.2018 00:06:53:253 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
11.02.2018 00:06:53:253 || *************************            Время старта: 00:06:53:14             *************************
11.02.2018 00:06:53:253 || *****************************************************************************************
11.02.2018 00:06:53:253 || UCommon.CreateDirectories
11.02.2018 00:06:53:253 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Clips
11.02.2018 00:06:53:253 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects
11.02.2018 00:06:53:253 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Clips
11.02.2018 00:06:53:253 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Templates
11.02.2018 00:06:53:253 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\PlayLists
11.02.2018 00:06:53:253 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Temp
11.02.2018 00:06:53:253 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\Projects\Keylayouts
11.02.2018 00:06:53:253 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\\Log
11.02.2018 00:06:53:253 || Начало чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
11.02.2018 00:06:53:253 || UGrid.TGridRows.SetDefaultFonts
11.02.2018 00:06:53:253 || UGrid.TGridRows.SetDefaultFonts
11.02.2018 00:06:53:253 || UGrid.TGridRows.SetDefaultFonts
11.02.2018 00:06:53:253 || UGrid.TGridRows.SetDefaultFonts
11.02.2018 00:06:53:253 || UGrid.TGridRows.SetDefaultFonts
11.02.2018 00:06:53:253 || UGrid.TGridRows.SetDefaultFonts
11.02.2018 00:06:53:253 || Окончание чтения IniFile: G:\home\ARM_editor\АРМ РЕДАКТОРА VLC 02022018\ARM_Director.ini
