02.02.2018 19:09:52:252 || UImageTemplate.SetSizeFrame Aspect=16x9
02.02.2018 19:09:52:252 || TFGRTemplate.SetSizeLayer1
02.02.2018 19:18:41:241 || UImageTemplate.SetSizeFrame Aspect=16x9
02.02.2018 19:18:41:241 || TFGRTemplate.SetSizeLayer1
02.02.2018 21:00:43:243 || UImageTemplate.SetSizeFrame Aspect=16x9
02.02.2018 21:00:43:243 || TFGRTemplate.SetSizeLayer1
02.02.2018 21:02:28:228 || UImageTemplate.SetSizeFrame Aspect=16x9
02.02.2018 21:02:28:228 || TFGRTemplate.SetSizeLayer1
02.02.2018 21:17:41:241 || UImageTemplate.SetSizeFrame Aspect=16x9
02.02.2018 21:17:41:241 || TFGRTemplate.SetSizeLayer1
02.02.2018 21:18:51:251 || UImageTemplate.SetSizeFrame Aspect=16x9
02.02.2018 21:18:51:251 || TFGRTemplate.SetSizeLayer1
02.02.2018 21:19:48:248 || UImageTemplate.SetSizeFrame Aspect=16x9
02.02.2018 21:19:48:248 || TFGRTemplate.SetSizeLayer1
02.02.2018 21:25:11:211 || UImageTemplate.SetSizeFrame Aspect=16x9
02.02.2018 21:25:11:211 || TFGRTemplate.SetSizeLayer1
02.02.2018 21:25:57:257 || UImageTemplate.SetSizeFrame Aspect=16x9
02.02.2018 21:25:57:257 || TFGRTemplate.SetSizeLayer1
