22.01.2018 10:53:51:151 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
22.01.2018 10:53:51:151 || UDrawTimelines.TTLNames.Draw Finish
22.01.2018 10:53:51:151 || UGrid.MyGridDeleteRow Grid=GridClips Row=1
22.01.2018 10:53:51:151 || UGrid.GridClear Row=1
22.01.2018 10:53:51:151 || UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
22.01.2018 10:53:51:151 || UGrid.GridClear Row=1
22.01.2018 10:53:51:151 || UGrid.MyGridDeleteRow Grid=GridLists Row=1
22.01.2018 10:53:51:151 || UGrid.GridClear Row=1
22.01.2018 10:53:51:151 || UCommon.initnewproject Finish
22.01.2018 10:53:51:151 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
22.01.2018 10:53:51:151 |2017522182734909| UCommon.UpdateProjectPathes NewProject=2017522182734909
22.01.2018 10:53:51:151 |2017522182734909| UMyFiles.LoadProjectFromDisk Start
22.01.2018 10:53:51:151 |2017522182734909| UCommon.CreateDirectories NewProject=2017522182734909
22.01.2018 10:53:51:151 |2017522182734909| UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Clips
22.01.2018 10:53:51:151 |2017522182734909| UCommon.CreateDirectories DirProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects
22.01.2018 10:53:51:151 |2017522182734909| UCommon.CreateDirectories PathProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909
22.01.2018 10:53:51:151 |2017522182734909| UCommon.CreateDirectories PathLists=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Lists
22.01.2018 10:53:51:151 |2017522182734909| UCommon.CreateDirectories PathClips=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Clips
22.01.2018 10:53:51:151 |2017522182734909| UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates
22.01.2018 10:53:51:151 |2017522182734909| UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\PlayLists
22.01.2018 10:53:51:151 |2017522182734909| UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp
22.01.2018 10:53:51:151 |2017522182734909| UCommon.CreateDirectories PathLog=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\\Log
22.01.2018 10:53:51:151 |2017522182734909| UMyFiles.DeleteFilesMask Dir=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909 Mask=*.*
22.01.2018 10:53:51:151 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
22.01.2018 10:53:51:151 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
22.01.2018 10:53:51:151 |2017522182734909| UMyFiles.LoadProjectFromDisk Finish
22.01.2018 10:53:51:151 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
22.01.2018 10:53:51:151 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 10:53:51:151 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614713643.jpeg Width=128 Height=80
22.01.2018 10:53:51:151 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614713643.jpeg
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261472191.jpeg Width=128 Height=80
22.01.2018 10:53:51:151 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261472191.jpeg
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614749387.jpeg Width=128 Height=80
22.01.2018 10:53:51:151 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614749387.jpeg
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261480899.jpeg Width=128 Height=80
22.01.2018 10:53:51:151 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261480899.jpeg
22.01.2018 10:53:51:151 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113418392.jpeg Width=128 Height=80
